service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11_平日(共通),1,1,1,1,1,0,0,20250324,20250924
11_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
11_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
15_平日(共通),1,1,1,1,1,0,0,20250324,20250924
15_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
15_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
16_平日(共通),1,1,1,1,1,0,0,20250324,20250924
16_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
16_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
17_平日(共通),1,1,1,1,1,0,0,20250324,20250924
17_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
17_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
21_平日(共通),1,1,1,1,1,0,0,20250324,20250924
21_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
21_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
24_平日(共通),1,1,1,1,1,0,0,20250324,20250924
24_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
24_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
31_平日(共通),1,1,1,1,1,0,0,20250324,20250924
31_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
31_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
33_平日(共通),1,1,1,1,1,0,0,20250324,20250924
33_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
33_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
35_平日(共通),1,1,1,1,1,0,0,20250324,20250924
35_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
35_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
37_平日(共通),1,1,1,1,1,0,0,20250324,20250924
37_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
37_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
41_平日(共通),1,1,1,1,1,0,0,20250324,20250924
41_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
41_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
51_平日(共通),1,1,1,1,1,0,0,20250324,20250924
51_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
51_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
61_平日(共通),1,1,1,1,1,0,0,20250324,20250924
61_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
61_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
90_平日(共通),1,1,1,1,1,0,0,20250324,20250924
90_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
90_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
98_平日(共通),1,1,1,1,1,0,0,20250324,20250924
98_土曜(共通),0,0,0,0,0,1,0,20250324,20250924
98_日祝(共通),0,0,0,0,0,0,1,20250324,20250924
