service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11_平日(共通),1,1,1,1,1,0,0,20250315,20250915
11_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
11_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
15_平日(共通),1,1,1,1,1,0,0,20250315,20250915
15_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
15_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
16_平日(共通),1,1,1,1,1,0,0,20250315,20250915
16_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
16_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
17_平日(共通),1,1,1,1,1,0,0,20250315,20250915
17_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
17_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
21_平日(共通),1,1,1,1,1,0,0,20250315,20250915
21_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
21_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
24_平日(共通),1,1,1,1,1,0,0,20250315,20250915
24_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
24_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
31_平日(共通),1,1,1,1,1,0,0,20250315,20250915
31_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
31_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
33_平日(共通),1,1,1,1,1,0,0,20250315,20250915
33_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
33_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
35_平日(共通),1,1,1,1,1,0,0,20250315,20250915
35_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
35_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
37_平日(共通),1,1,1,1,1,0,0,20250315,20250915
37_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
37_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
41_平日(共通),1,1,1,1,1,0,0,20250315,20250915
41_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
41_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
51_平日(共通),1,1,1,1,1,0,0,20250315,20250915
51_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
51_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
61_平日(共通),1,1,1,1,1,0,0,20250315,20250915
61_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
61_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
90_平日(共通),1,1,1,1,1,0,0,20250315,20250915
90_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
90_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
98_平日(共通),1,1,1,1,1,0,0,20250315,20250915
98_土曜(共通),0,0,0,0,0,1,0,20250315,20250915
98_日祝(共通),0,0,0,0,0,0,1,20250315,20250915
