trans_id,lang,translation,category,station_sid,course_sid
西税務署入口,ja,西税務署入口,stop_name,19b82e91-9fe2-4e60-9fee-d55b6c7f6c31,
西税務署入口,ja-Hrkt,にしぜいむしょいりぐち,stop_name,19b82e91-9fe2-4e60-9fee-d55b6c7f6c31,
あさひが丘上,ja,あさひが丘上,stop_name,0bb816f7-8b36-4c0d-83a9-26de5ffd1ec5,
あさひが丘上,ja-Hrkt,あさひがおかかみ,stop_name,0bb816f7-8b36-4c0d-83a9-26de5ffd1ec5,
あさひが丘上,en,Asahigaoka-kami,stop_name,0bb816f7-8b36-4c0d-83a9-26de5ffd1ec5,
あさひが丘上,ko,아사히가오카 카미,stop_name,0bb816f7-8b36-4c0d-83a9-26de5ffd1ec5,
あさひが丘上,zh-ch,旭丘上,stop_name,0bb816f7-8b36-4c0d-83a9-26de5ffd1ec5,
あさひが丘上,zh-tw,旭丘上,stop_name,0bb816f7-8b36-4c0d-83a9-26de5ffd1ec5,
阿品台北中央,ja,阿品台北中央,stop_name,df151056-74f2-4968-a703-ac74113af8ea,
阿品台北中央,ja-Hrkt,あじなだいきたちゅうおう,stop_name,df151056-74f2-4968-a703-ac74113af8ea,
西原,ja,西原,stop_name,bc7496f1-0ea4-4d7e-9e06-5431f762cc9b,
西原,ja-Hrkt,にしはら,stop_name,bc7496f1-0ea4-4d7e-9e06-5431f762cc9b,
アルパーク,ja,アルパーク,stop_name,f2fdf631-dc1e-493f-809f-2dc5ea0e7b28,
アルパーク,ja-Hrkt,あるぱーく,stop_name,f2fdf631-dc1e-493f-809f-2dc5ea0e7b28,
こころ団地西,ja,こころ団地西,stop_name,a6f1346c-55cb-4dc2-8a17-87aaf8b1ee55,
こころ団地西,ja-Hrkt,こころだんちにし,stop_name,a6f1346c-55cb-4dc2-8a17-87aaf8b1ee55,
こころ団地西,en,Kokoro Danchi-nishi,stop_name,a6f1346c-55cb-4dc2-8a17-87aaf8b1ee55,
こころ団地西,ko,고코로 단지,stop_name,a6f1346c-55cb-4dc2-8a17-87aaf8b1ee55,
こころ団地西,zh-ch,COCORO团地西,stop_name,a6f1346c-55cb-4dc2-8a17-87aaf8b1ee55,
こころ団地西,zh-tw,COCORO團地西,stop_name,a6f1346c-55cb-4dc2-8a17-87aaf8b1ee55,
久次郎原,ja,久次郎原,stop_name,f3bcdee2-3f46-4b72-a4fc-3c787b2a2e67,
久次郎原,ja-Hrkt,きゅうじろうばら,stop_name,f3bcdee2-3f46-4b72-a4fc-3c787b2a2e67,
セントラルシティ中央,ja,セントラルシティ中央,stop_name,bd22660a-c544-490d-999b-a4ad3950b89b,
セントラルシティ中央,ja-Hrkt,せんとらるしてぃちゅうおう,stop_name,bd22660a-c544-490d-999b-a4ad3950b89b,
