daiya_sid,bin_no,course_sid
8b42dbe2-385e-41fd-9f0b-cf3d0f1d1756,3,190883ba-aed3-420d-8f74-01599493982f
ce051fa3-adb2-4adf-8e47-021d9d5e3a65,8,190883ba-aed3-420d-8f74-01599493982f
31ca3142-db17-4973-a18b-429f78e06f9b,6,190883ba-aed3-420d-8f74-01599493982f
b0bdbed3-6289-4c95-8c96-335ddcbaf9c7,4,190883ba-aed3-420d-8f74-01599493982f
ce28ea32-3328-4f9d-b487-5f9fc1ff6153,7,190883ba-aed3-420d-8f74-01599493982f
fa613b0f-6e24-45be-8d4e-789a7044338f,2,190883ba-aed3-420d-8f74-01599493982f
e113b47a-b642-4ca3-ab6e-847690376248,9,190883ba-aed3-420d-8f74-01599493982f
dada668c-452d-4635-b7ba-8dc3379bbb44,1,190883ba-aed3-420d-8f74-01599493982f
1689cd3e-ef85-4337-8f75-678139541e99,5,190883ba-aed3-420d-8f74-01599493982f
93f8ec88-d21d-445f-93cd-c4ae7bc2cbec,9,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
b2151165-e458-4bdc-a50b-dc8721cdc435,9,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
f40f1b6b-6f89-4f48-9ee3-d29a63f0cfb7,15,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
6522b675-37ac-452e-8d90-b10ec5bdf526,5,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
84080bb6-8105-4d6a-82b9-bcc30d0f731d,5,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
6897ca55-127a-415f-b0d2-bebcb91de8bb,6,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
d6ff1931-c216-4a59-841a-e3dde9477c32,3,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
59c74064-e511-434f-9445-e48da8acf0a2,10,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
41cea20a-6835-4017-bd21-e0de7d4328ba,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
75ce5dcb-8b95-42d6-b37b-de6876bfc890,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
91ddeacc-b136-4c28-9891-f206c4f37d50,1,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
86da5ff7-580b-4949-8eae-ea8958ea2df8,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
3b99ead2-a1f6-4205-864f-fcbc054accdb,11,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
be9540fb-25c2-40ae-8399-6c45765621ba,7,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
df5ad1d4-0c46-44db-b661-8a1ab3182620,5,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
965c8a74-083c-4d48-a9ec-87b2be71ca38,7,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
8929874f-13ab-4ef9-bbf7-888dbe3bb341,2,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
7c94f193-4a22-4309-8e01-7f11f3705cc3,9,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
3846f6c6-4c7c-466b-9240-7f4cdb14359c,1,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
8b8bb631-d631-4aa4-b194-940451a0a9b6,1,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
caa2dddb-ef2c-4dd8-9abc-983e0488b4cc,12,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
fd67f724-7e05-4541-912c-ab494c0a8af9,6,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
223735de-d649-4d7b-a4d7-4f237e43e9e1,3,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
09d90cfd-e31f-476f-90b0-53ef493cd204,10,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
e94322d7-4586-4a5b-8afc-4c73a9b03739,8,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
6339e7a5-6c3f-45dd-a5f0-4cc51d94d71c,2,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
2806ce97-4465-492d-ab2a-4259cd1e11fb,14,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
f8fc0d03-c214-42ec-b1a2-40ca8ed82b53,7,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
0151ed31-4c82-46b7-ad12-3d280bb542d4,2,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
ed8c6e56-0c69-459b-a5bb-3dfa857604bb,8,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
295a4e2d-ae4c-4260-b6a9-12d66e9e8f82,6,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
61e9693a-8433-4560-8ab0-1de94a1f012e,3,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
11b5f766-b7f4-4546-9977-2091d076cc01,13,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
d75cff6f-5c37-468b-aa8b-2b8407930175,10,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
c4b4bee1-ad65-424b-b1b5-2ec4c8c33545,8,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
a83abbab-f241-4920-890c-fae4521f0149,6,42059c1b-68a9-464e-b405-02f0e2d869d3
